start_year	end_year	File	Text
1761	1767	GM14_408	ministers g'eyscht een valide, of bestaanbaar bewijs van het protest van den gouverneur Pigot \n en raad te Madras, vermeld bij haare secreete brief van den 25eaugustus 1762, tegens den \n capitain Tinker over de geweygerde possessie neming van Mature ten tijde hetselve door \n d' onse verlaten was, maar ook van de expeditie die ten dien eynde, dog vrugteloos, met \n twee scheepen waarop 300 Europeese militairen geplaatst waren, door het raadslid van \n Madras Peybus zoude gedaan zijn om zig in het bezit van Mature te stellen. En 'twelk zelfs \n door de Engelschen als een wettige en g'oorloofde onderneeming verbreyd, dog \n waaromtrend naderhand de negative gespeeld was. Insgelijx hebben wij berigt gevraagd wat \n er zij van 't contract tusschen den nabab en de heer Vansittart gesloten met opzigt tot de \n restitutie van de landschappen Borduaan, Miedniepoer, en alle andere districten beneden \n Kalkatta tot aan het zeestrand aan den vorst, en de daarentegen gedaane belofte van den \n nabab om jaarlijx 2. 500. 000 ropias tot onderhoud der troupen aan de Engelsche \n compagnie op te brengen. \n  \n 
1761	1767	GM14_352	aan te doen, om zoveel rijst in te nemen als bequamelijk laaden en herwaards \n overbrengen kunnen ter uytwinninge van scheepsruymte. \n  \n Banda \n  \n 98. 515 lb. foelij in 597 sockels \n 425. 435 notenmusschaten \n 3000 pees geconfijte nooten \n 100 lb. marmelade van nooten \n 512realen stamppaarlen \n 240 lb. vogelnesjes \n 395 ,, caret \n 2552 ,, parlemoerschulpen in zoort of 1750 stux \n tezamen bedragende ƒ 76. 245, 10, 8. \n  \n 
1761	1767	GM14_434	
1761	1767	GM14_420	Met bijvoeging dat ofschoon wij wel konden goedkeuren dat zij in plaatse van den \n overleedenen Paliacats koopman Molumga Tamba Chittij zijne borgen, in naame \n Ramanappa Chittij en Wenkata Kistnama, weder als Compagnies kooplieden g'admitteert \n hadden, op hun verzoek en betuyging van des overleedens agterstal, ten bedrage van \n pagode 3815, 10 na uytterste vermoogen te zullen vereffenen, het ons egter wel zo \n aangenaam zoude geweest zijn te verneemen dat zij aan hunne beloften reets voldaan \n hadden. En dienhalven hebben wij de ministers gerecommandeert daarop zowel te moeten \n aandringen als op de voldoening van de schult van den almeede ter voormelde plaats \n overleede Compagnies handelaar Boetoe Moetoe Chittij, voor welkers agter weezen zijn \n zwaager den volgens der ministers zeggen beroemden Madraspatnams koopman Poendi \n Nagoe Chittij een schriftelijke verbintenisse hadde gegeven. Gelijk meede, omtrend den \n agterstal van den insgelijx aflijvigen Sadraspatnams handelaar Maddhoe Wenke Tasselam \n Chittij, groot pagode 452, 838welke zijn zoon Maddhoe Peertamboe Chittij voor zijn \n reekening had genomen, met aanschrijvens van ons 's jaarlijx kennisse te geeven, in hoeverre de \n uytstaande schulden dier kooplieden ingekoomen, en wat zij nog ten agteren gebleeven \n zijn. \n  \n 
1761	1767	GM14_346	
1761	1767	GM14_391	beveelen, mitsgaders 't opperhoofd van Chinco, zowel als den hoofdregent van Cambang te \n gelasten, op alles naukeurig te letten en iets voorvallende, daarvan ten eersten kennisse te \n geeven. Zo hebben wij haarlieden gedrag ten vollen goedgekeurt en teffens betuygd met \n de ministers te verhopen dat alles beeter zal uytgevallen weesen, als het zig te dier tijd liet \n aansien. Ofschoon de belegde vergaderingen onder de Songijpagineesen met betrecking \n tot de door hun gemaakte schulden ten behoeve van den gewesene resident Van Seijffert, \n waartoe dien vorst was genodigt geworden, gemeenlijk als voorboden van slegte gevolgen \n aangemerkt wierden, en waarvoor de ministers ook bedugt scheenen te weesen. \n  \n 
1761	1767	GM14_385	Voor Padang \n  \n Contanten \n 8008 stuks realen van agten \n  \n nieuwe ronde ƒ 25. 600, -, - \n 17. 600 dito ducatons \n zilvere gecartelde ƒ 70. 400, -, - \n 5000 rijxd. payement \n nieuw Nederlands ƒ 12. 000, -, - ƒ 108. 000, -, - \n Lijwaten in 149 pakken waarvan \n 400 pees deekens \n gecattoeneerde Sourats \n in 10 pakken ƒ 2. 976, 11, 8 \n 5080 pees guinees \n gemeen gebleekt cust \n in 127 pakken ƒ 45. 159, 19, 8 \n 480 pees salempoeris rood cust \n in 6 pakken ƒ 2. 904, 4, - \n 960 pees parcallen rood cust \n in 6 pakken ƒ 2. 943, 19, 8 ƒ 53. 984, 14, 8 \n 50 paren cattoene koussen cust ƒ 63, 19, 8 \n 750 lb. dito garen Javas dispens zoort \n in 6 balen ƒ 127, 7, - \n 2288 lb. suyker candij \n in 6 canassers ƒ 351, 8, 8 \n 3470 lb. suyker poeder \n in 9 canassers ƒ 299, 16, 8 \n 3 kelders gedistileerde wateren \n inlands ƒ 86, 8, - \n 2 kelders genever ƒ 105, 8, - \n 2 kelders brandewijn ƒ 46, 7, 8 \n 197 lb. roodkoper ƒ 160, 1, 8 \n 2 kisten zeep Zourats ƒ 44, 2, - \n 3800 pees stroomatten ƒ 273, 12, - \n 10. 000 pees stroozakken kleene ƒ 1. 320, -, - \n 3000 lb. coffijboonen Mauritius \n in 12 baalen ƒ 321, 6, - \n 750 dubbelde bossen bindrottings ƒ 342, -, - \n 12vat beens asch ƒ 17, 17, - \n 3 vellen jugtleer Muscovisch ƒ 52, 13, - \n 2 vellen rood leer Batavias ƒ 3, -, - \n 10 pees essay glaessis ƒ 1, 9, - \n 6 pees mossels ƒ 6, 6, 8 \n 30 pees smeltkroesen in zoort ƒ 28, 6, - \n 1000 lb. loot Hollands ƒ 116, 17, 8 ƒ 165. 753, -, - \n Uyt de te meldene administratiën als \n de arthillerij ƒ 10. 661, 3, 8 \n t ijzermaguazijn ƒ 14. 725, 19, 8 \n 
1761	1767	GM14_178	Bandjarmasin \n  \n Timor \n  \n Ondertusschen is het op 't Portugeesche comptoir alles in verwarring. De \n gouverneur Vicenta Ferera de Carvalho, door zeekeren geestelijke uyt zijnen zetel geschopt, is \n met den Batavier in eene zeer armoedigen staat hier aangeland en wij hebben hem, om er \n te eerder van ontslaagen te raaken, vrij transport naar Macao verleend met het schip den \n Admiraal de Ruyter, volgens het aangetekende ter resolutie van den 10eaugustus. \n  \n Palembang \n  \n Djambi \n  \n Siam \n  \n 
1761	1767	GM14_636	Ook hebben we op den favorabelen voordragt der ministers in de gedaane instantie \n van den chettij Matthijs Fernando om schadeloos gestelt te moogen werden ten opsigte \n van zijn door onse troupes ten eenemaal geruïneerde thuyn, af en aan de pannebakkerij \n gelegen, tot rds 102 geconsenteert, niet soseer om reeden van de ten eenemaal \n weggekapte boomen in deselve, maar omdat de grond, als uyt kley bestaande, navolgens het \n genoteerde met veel voordeel aan de pannebakkerij zou kunnen werden g'employeert. Dog \n de overige versoeken ten faveure van de burgers Adam Hendeling, Cornelis en Jan \n Hendeling, benevens eenen Jan Pietersz. ten bedrage van rds 2823 heeft men op fundament \n van onse voorjaarige beveelen van den 14ejulij formeel ontsegt, ter zake het niet meer dan \n reedelijk en billijk is dat een onderdaan na maate van zijn vermoogen participeeren in de \n ongelukken die hem naast den heer van den lande overkomen. \n  \n 
1761	1767	GM14_150	Timor \n  \n Palembang \n  \n Djambi \n  \n China \n  \n Malakka \n  \n 
