Winsten in de handel te Nagasaki gemaakt) :
a. ° 1641/2 isgeprofiteert f. 465999 ofte 71} p.
1643 „9„ 646217 , 921 „
1644 „99„ 616153 , 52f „
1645 „99„ 907345 , 70J „
1646 „99„ 516845 , 66} „
1647 „99„ 512281 , 78} „
1648 „99„ 767693 , 117} „
1649 „99„ 702435 „126 „
1650 „99„ 182295 , 41} „
1651 „99„ 593460 , 74g „
1652 „99„ 657197 , 71} ,,
1653 „99„ 875282 , 103} „
1654 „99„ 456693 , 74} „
1655 „99„ 580753 , 94} „
1656 „99„ 739494 , 60 § „
1657 „99„ 429985 , 48} „
1658 ,, 99„ 1037198 , 107} „
1659 „99„ 856037 , 81} „
1660 „99„ 676415 , 76} ,,
1661 „99„ 929885 , 79} „
1662 „99„ 745446 , 52} „
1663 „99„ 676584 , 89} „
1664 „99„ 922803 , 58} „
1665 „99„ 702340 , 49} „
1666 „„ 1174681 , 124} „
1667 „99„ 1441877 , 116 „
1668 „99„ 1037493 , 62J „
1669 „99„ 1184475 , 87} „
1670 „99„ 1270565 , 95} „
1671 „99„ 1558263 , 145} „
1672 „99„ 811305 , 57} „
1673 „99„ 859643 , 69} „
1674 „99„ 380465 , 34} „
1675 „99„ 365854 , 46 „
1676 „99„ 451551 , 70} „
1677 „99„ 500214 , 63} „
1678 „99„ 379288 , 69} „
1679 „99„ 758277 , 110} „
1680 „99„ 575266 , 99} „
1681 „99„ 410406 , 66} „
1682 „99„ 303950 , 45 „
1683 „99„ 186641 , 50} „
1684 „99„ 627813 , 60 „
1685 „99„ 339829 , 83} „
1686 „99„ 294276 , 75} „
1687 „99„ 364886 , 93} „

